Entity,Type,Season,Episode,ImageUrl,Real Name,Description,ScreenTime
Monica's Apartment,Location,7,5,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/MonicasApartment.jpg,Monica's Apartment,Monica's Apartment  later Monica and Chandler's Apartment is one of the two most used set pieces in the show. Every single one of the group has lived here at some point.Together with boys' apartment and the coffee house Central Perk  Monica's apartment is where most of the episodes take place.,94
Chandler,Character,7,6,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Chandler.jpg,Matthew Langford Perry,Matthew Langford Perry is a dual national Canadian-American actor  best known for his role as Chandler Bing on the long-running NBC television sitcom Friends  as well as his portrayal of Ron Clark in the 2006 television movie The Ron Clark Story,26
Joey,Character,7,6,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Joey.jpg,Matthew Steven LeBlanc,Matthew Steven LeBlanc is an American actor  comedian  television host  and producer  best known for his role as the dim-witted womanizing actor Joey Tribbiani on the popular NBC sitcom Friends  which ran from 1994 to 2004.,69
Monica,Character,7,6,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Monica.jpg,Courteney Bass Cox,Courteney Bass Cox is an American actress  producer  and director. She is best known for her roles as Monica Geller on the NBC sitcom Friends  Gale Weathers in the horror series Scream  and Jules Cobb  in the ABC/TBS sitcom Cougar Town  for which she earned her first Golden Globe nomination.,4
Phoebe,Character,7,6,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Phoebe.jpg,Lisa Valerie Kudrow,Lisa Valerie Kudrow is an American actress  comedian  writer and producer. She gained worldwide recognition for her ten-season run as Phoebe Buffay on the NBC television sitcom Friends  for which she received many accolades  including six Primetime Emmy Award nominations  winning once in 1998  and twelve Screen Actors Guild Award nominations  winning twice in 1996 and 2000.,90
Rachel,Character,7,6,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Rachel.jpg,Jennifer Joanna Aniston,Jennifer Joanna Aniston is an American actress  producer  and businesswoman. She is the daughter of Greek-born actor John Aniston and American actress Nancy Dow.,6
Ross,Character,7,6,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Ross.jpg,David Lawrence Schwimmer,David Lawrence Schwimmer is an American actor  director  and producer. He was born in Flushing  Queens  New York  and his family moved to Los Angeles when he was 2. He began his acting career performing in school plays at Beverly Hills High School.,33
Central Perk,Location,7,6,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/CentralPerk.jpg,Central Perk,Central Perk is a coffee house in New York on NBC sitcom Friends.The six main protagonists frequently visited Central Perk throughout the series. It is situated in New York City's Greenwich Village  near Monica's apartment. It was where they spent much of their free time conversing.,8
Chandler's Apartment,Location,7,6,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/ChandlersApartment.jpg,Chandler's Apartment,Chandler and Joey's apartment is located in Greenwich Village in Manhattan. The apartment served as a regular set piece  but in terms of the show's main action  it was not as central a setting as Monica's apartment or Central Perk.,49
Monica's Apartment,Location,7,6,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/MonicasApartment.jpg,Monica's Apartment,Monica's Apartment  later Monica and Chandler's Apartment is one of the two most used set pieces in the show. Every single one of the group has lived here at some point.Together with boys' apartment and the coffee house Central Perk  Monica's apartment is where most of the episodes take place.,15
Chandler,Character,7,7,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Chandler.jpg,Matthew Langford Perry,Matthew Langford Perry is a dual national Canadian-American actor  best known for his role as Chandler Bing on the long-running NBC television sitcom Friends  as well as his portrayal of Ron Clark in the 2006 television movie The Ron Clark Story,39
Joey,Character,7,7,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Joey.jpg,Matthew Steven LeBlanc,Matthew Steven LeBlanc is an American actor  comedian  television host  and producer  best known for his role as the dim-witted womanizing actor Joey Tribbiani on the popular NBC sitcom Friends  which ran from 1994 to 2004.,33
Monica,Character,7,7,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Monica.jpg,Courteney Bass Cox,Courteney Bass Cox is an American actress  producer  and director. She is best known for her roles as Monica Geller on the NBC sitcom Friends  Gale Weathers in the horror series Scream  and Jules Cobb  in the ABC/TBS sitcom Cougar Town  for which she earned her first Golden Globe nomination.,34
Phoebe,Character,7,7,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Phoebe.jpg,Lisa Valerie Kudrow,Lisa Valerie Kudrow is an American actress  comedian  writer and producer. She gained worldwide recognition for her ten-season run as Phoebe Buffay on the NBC television sitcom Friends  for which she received many accolades  including six Primetime Emmy Award nominations  winning once in 1998  and twelve Screen Actors Guild Award nominations  winning twice in 1996 and 2000.,84
Rachel,Character,7,7,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Rachel.jpg,Jennifer Joanna Aniston,Jennifer Joanna Aniston is an American actress  producer  and businesswoman. She is the daughter of Greek-born actor John Aniston and American actress Nancy Dow.,71
Ross,Character,7,7,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Ross.jpg,David Lawrence Schwimmer,David Lawrence Schwimmer is an American actor  director  and producer. He was born in Flushing  Queens  New York  and his family moved to Los Angeles when he was 2. He began his acting career performing in school plays at Beverly Hills High School.,84
Central Perk,Location,7,7,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/CentralPerk.jpg,Central Perk,Central Perk is a coffee house in New York on NBC sitcom Friends.The six main protagonists frequently visited Central Perk throughout the series. It is situated in New York City's Greenwich Village  near Monica's apartment. It was where they spent much of their free time conversing.,47
Chandler's Apartment,Location,7,7,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/ChandlersApartment.jpg,Chandler's Apartment,Chandler and Joey's apartment is located in Greenwich Village in Manhattan. The apartment served as a regular set piece  but in terms of the show's main action  it was not as central a setting as Monica's apartment or Central Perk.,46
Monica's Apartment,Location,7,7,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/MonicasApartment.jpg,Monica's Apartment,Monica's Apartment  later Monica and Chandler's Apartment is one of the two most used set pieces in the show. Every single one of the group has lived here at some point.Together with boys' apartment and the coffee house Central Perk  Monica's apartment is where most of the episodes take place.,69
Chandler,Character,7,8,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Chandler.jpg,Matthew Langford Perry,Matthew Langford Perry is a dual national Canadian-American actor  best known for his role as Chandler Bing on the long-running NBC television sitcom Friends  as well as his portrayal of Ron Clark in the 2006 television movie The Ron Clark Story,87
Joey,Character,7,8,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Joey.jpg,Matthew Steven LeBlanc,Matthew Steven LeBlanc is an American actor  comedian  television host  and producer  best known for his role as the dim-witted womanizing actor Joey Tribbiani on the popular NBC sitcom Friends  which ran from 1994 to 2004.,18
Monica,Character,7,8,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Monica.jpg,Courteney Bass Cox,Courteney Bass Cox is an American actress  producer  and director. She is best known for her roles as Monica Geller on the NBC sitcom Friends  Gale Weathers in the horror series Scream  and Jules Cobb  in the ABC/TBS sitcom Cougar Town  for which she earned her first Golden Globe nomination.,48
Phoebe,Character,7,8,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Phoebe.jpg,Lisa Valerie Kudrow,Lisa Valerie Kudrow is an American actress  comedian  writer and producer. She gained worldwide recognition for her ten-season run as Phoebe Buffay on the NBC television sitcom Friends  for which she received many accolades  including six Primetime Emmy Award nominations  winning once in 1998  and twelve Screen Actors Guild Award nominations  winning twice in 1996 and 2000.,25
Rachel,Character,7,8,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Rachel.jpg,Jennifer Joanna Aniston,Jennifer Joanna Aniston is an American actress  producer  and businesswoman. She is the daughter of Greek-born actor John Aniston and American actress Nancy Dow.,75
Ross,Character,7,8,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Ross.jpg,David Lawrence Schwimmer,David Lawrence Schwimmer is an American actor  director  and producer. He was born in Flushing  Queens  New York  and his family moved to Los Angeles when he was 2. He began his acting career performing in school plays at Beverly Hills High School.,45
Central Perk,Location,7,8,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/CentralPerk.jpg,Central Perk,Central Perk is a coffee house in New York on NBC sitcom Friends.The six main protagonists frequently visited Central Perk throughout the series. It is situated in New York City's Greenwich Village  near Monica's apartment. It was where they spent much of their free time conversing.,99
Chandler's Apartment,Location,7,8,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/ChandlersApartment.jpg,Chandler's Apartment,Chandler and Joey's apartment is located in Greenwich Village in Manhattan. The apartment served as a regular set piece  but in terms of the show's main action  it was not as central a setting as Monica's apartment or Central Perk.,32
Monica's Apartment,Location,7,8,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/MonicasApartment.jpg,Monica's Apartment,Monica's Apartment  later Monica and Chandler's Apartment is one of the two most used set pieces in the show. Every single one of the group has lived here at some point.Together with boys' apartment and the coffee house Central Perk  Monica's apartment is where most of the episodes take place.,19
Chandler,Character,7,9,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Chandler.jpg,Matthew Langford Perry,Matthew Langford Perry is a dual national Canadian-American actor  best known for his role as Chandler Bing on the long-running NBC television sitcom Friends  as well as his portrayal of Ron Clark in the 2006 television movie The Ron Clark Story,17
Joey,Character,7,9,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Joey.jpg,Matthew Steven LeBlanc,Matthew Steven LeBlanc is an American actor  comedian  television host  and producer  best known for his role as the dim-witted womanizing actor Joey Tribbiani on the popular NBC sitcom Friends  which ran from 1994 to 2004.,59
Monica,Character,7,9,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Monica.jpg,Courteney Bass Cox,Courteney Bass Cox is an American actress  producer  and director. She is best known for her roles as Monica Geller on the NBC sitcom Friends  Gale Weathers in the horror series Scream  and Jules Cobb  in the ABC/TBS sitcom Cougar Town  for which she earned her first Golden Globe nomination.,21
Phoebe,Character,7,9,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Phoebe.jpg,Lisa Valerie Kudrow,Lisa Valerie Kudrow is an American actress  comedian  writer and producer. She gained worldwide recognition for her ten-season run as Phoebe Buffay on the NBC television sitcom Friends  for which she received many accolades  including six Primetime Emmy Award nominations  winning once in 1998  and twelve Screen Actors Guild Award nominations  winning twice in 1996 and 2000.,6
Rachel,Character,7,9,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Rachel.jpg,Jennifer Joanna Aniston,Jennifer Joanna Aniston is an American actress  producer  and businesswoman. She is the daughter of Greek-born actor John Aniston and American actress Nancy Dow.,71
Ross,Character,7,9,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Ross.jpg,David Lawrence Schwimmer,David Lawrence Schwimmer is an American actor  director  and producer. He was born in Flushing  Queens  New York  and his family moved to Los Angeles when he was 2. He began his acting career performing in school plays at Beverly Hills High School.,49
Central Perk,Location,7,9,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/CentralPerk.jpg,Central Perk,Central Perk is a coffee house in New York on NBC sitcom Friends.The six main protagonists frequently visited Central Perk throughout the series. It is situated in New York City's Greenwich Village  near Monica's apartment. It was where they spent much of their free time conversing.,70
Chandler's Apartment,Location,7,9,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/ChandlersApartment.jpg,Chandler's Apartment,Chandler and Joey's apartment is located in Greenwich Village in Manhattan. The apartment served as a regular set piece  but in terms of the show's main action  it was not as central a setting as Monica's apartment or Central Perk.,16
Monica's Apartment,Location,7,9,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/MonicasApartment.jpg,Monica's Apartment,Monica's Apartment  later Monica and Chandler's Apartment is one of the two most used set pieces in the show. Every single one of the group has lived here at some point.Together with boys' apartment and the coffee house Central Perk  Monica's apartment is where most of the episodes take place.,64
Chandler,Character,7,10,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Chandler.jpg,Matthew Langford Perry,Matthew Langford Perry is a dual national Canadian-American actor  best known for his role as Chandler Bing on the long-running NBC television sitcom Friends  as well as his portrayal of Ron Clark in the 2006 television movie The Ron Clark Story,70
Joey,Character,7,10,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Joey.jpg,Matthew Steven LeBlanc,Matthew Steven LeBlanc is an American actor  comedian  television host  and producer  best known for his role as the dim-witted womanizing actor Joey Tribbiani on the popular NBC sitcom Friends  which ran from 1994 to 2004.,66
Monica,Character,7,10,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Monica.jpg,Courteney Bass Cox,Courteney Bass Cox is an American actress  producer  and director. She is best known for her roles as Monica Geller on the NBC sitcom Friends  Gale Weathers in the horror series Scream  and Jules Cobb  in the ABC/TBS sitcom Cougar Town  for which she earned her first Golden Globe nomination.,40
Phoebe,Character,7,10,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Phoebe.jpg,Lisa Valerie Kudrow,Lisa Valerie Kudrow is an American actress  comedian  writer and producer. She gained worldwide recognition for her ten-season run as Phoebe Buffay on the NBC television sitcom Friends  for which she received many accolades  including six Primetime Emmy Award nominations  winning once in 1998  and twelve Screen Actors Guild Award nominations  winning twice in 1996 and 2000.,81
Rachel,Character,7,10,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Rachel.jpg,Jennifer Joanna Aniston,Jennifer Joanna Aniston is an American actress  producer  and businesswoman. She is the daughter of Greek-born actor John Aniston and American actress Nancy Dow.,51
Ross,Character,7,10,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/Ross.jpg,David Lawrence Schwimmer,David Lawrence Schwimmer is an American actor  director  and producer. He was born in Flushing  Queens  New York  and his family moved to Los Angeles when he was 2. He began his acting career performing in school plays at Beverly Hills High School.,81
Central Perk,Location,7,10,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/CentralPerk.jpg,Central Perk,Central Perk is a coffee house in New York on NBC sitcom Friends.The six main protagonists frequently visited Central Perk throughout the series. It is situated in New York City's Greenwich Village  near Monica's apartment. It was where they spent much of their free time conversing.,62
Chandler's Apartment,Location,7,10,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/ChandlersApartment.jpg,Chandler's Apartment,Chandler and Joey's apartment is located in Greenwich Village in Manhattan. The apartment served as a regular set piece  but in terms of the show's main action  it was not as central a setting as Monica's apartment or Central Perk.,20
Monica's Apartment,Location,7,10,https://storage.googleapis.com/athenas-owl/processed-videos/FRIENDS/Entities/MonicasApartment.jpg,Monica's Apartment,Monica's Apartment  later Monica and Chandler's Apartment is one of the two most used set pieces in the show. Every single one of the group has lived here at some point.Together with boys' apartment and the coffee house Central Perk  Monica's apartment is where most of the episodes take place.,76
